"","group","ID","How much do you agree with the following statements? - ‘‘I trust the other participants”...23","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""...25","How much do you agree with the following statements? - “I think I am similar to the other participants’’...27","How much do you agree with the following statements? - “I feel strong ties to the other participants”...29","How much do you agree with the following statements? - ""I have a lot in common with the other participants""...30","How close do you feel to all the other participants? - 1...32","How much do you agree with the following statements? - ‘‘I trust the other participants”...34","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""...36","How much do you agree with the following statements? - “I think I am similar to the other participants’’...38","How much do you agree with the following statements? - “I feel strong ties to the other participants”...41","attention","How much do you agree with the following statements? - ""I have a lot in common with the other participants""...43","How close do you feel to all the other participants? - 1...45"
"63","C","6",92,35,7,32,38,56,72,58,32,54,100,42,65
"64","C","8",22,14,44,0,0,17,78,56,32,29,100,51,39
"65","C","7",50,25,24,22,20,11,79,80,17,24,100,71,52
"66","S","8",8,0,9,0,47,8,61,49,8,48,100,50,27
"67","S","2",17,17,0,3,24,3,100,100,86,69,100,30,82
"68","S","10",93,59,40,24,37,34,100,97,54,54,100,53,77
"69","S","9",49,24,0,9,7,8,40,63,9,14,100,16,21
"70","S","1",41,0,0,0,0,24,50,49,1,75,100,26,42
"71","S","4",80,42,55,10,21,9,72,10,59,1,100,1,17
"72","S","5",15,27,18,0,19,16,33,35,14,15,100,13,28
"73","S","3",4,0,0,0,0,0,1,1,33,3,99,7,4
"74","S","1",91,56,59,2,45,50,74,52,50,8,100,50,50
"75","S","6",68,34,27,11,10,32,48,61,41,58,100,53,66
"76","S","7",49,50,38,16,49,27,48,51,51,51,100,55,25
"77","R","6",45,57,52,18,48,52,77,64,48,58,100,53,52
"78","R","1",48,50,47,0,0,8,48,100,0,0,100,0,9
"79","R","2",7,14,23,17,15,50,44,13,81,3,100,11,39
"80","R","3",56,60,15,8,23,26,19,25,16,5,100,11,23
"81","R","4",16,19,25,7,10,7,57,40,26,0,46,8,27
"82","R","8",3,1,2,3,3,8,1,49,3,3,100,1,13
"83","R","7",57,58,40,43,39,60,82,70,57,37,100,68,73
"84","R","9",100,51,35,0,28,9,100,86,43,31,100,34,35
"85","R","5",37,48,81,0,20,13,51,62,77,3,100,14,13
"86","C","4",51,78,93,56,74,60,54,87,88,50,100,100,57
"87","C","2",4,22,37,2,25,36,30,35,46,14,100,43,44
"88","C","7",50,61,57,53,43,35,82,83,39,70,80,22,99
"89","C","1",82,100,26,19,19,55,94,100,22,69,100,62,70
"90","C","6",22,33,37,33,32,36,96,40,73,52,55,84,69
"91","C","5",61,55,60,51,46,42,54,47,75,74,99,75,52
"92","C","3",75,83,66,64,81,78,72,84,85,85,100,77,75
"93","S","5",100,100,100,78,60,50,100,70,100,80,100,70,71
"94","S","2",61,89,50,18,18,45,52,97,57,19,100,14,69
"95","S","4",54,49,35,28,69,54,76,29,27,44,100,52,43
"96","S","3",90,74,97,38,54,45,91,95,89,76,100,57,53
"97","S","1",65,74,78,64,63,52,73,76,81,60,100,83,52
"98","R","1",55,52,57,36,56,36,74,66,74,50,100,63,37
"99","R","4",48,55,46,52,53,51,100,100,100,100,100,48,55
"100","R","3",50,100,99,0,51,50,51,100,100,0,100,47,51
"101","R","2",10,3,2,7,24,37,9,17,15,19,100,21,18
"102","C","7",34,18,62,0,22,15,81,66,53,5,100,32,38
"103","C","3",55,66,100,53,58,40,59,95,49,50,100,54,41
"104","C","5",100,54,67,34,51,49,59,75,52,51,100,50,60
"105","C","8",83,85,52,50,61,74,94,100,92,98,100,93,76
"106","C","10",53,88,63,19,47,50,59,48,40,30,100,48,49
"107","C","9",26,42,11,2,2,19,13,31,26,20,100,36,0
"108","C","2",100,100,100,74,83,53,100,81,54,56,100,52,53
"109","C","1",52,71,80,81,51,49,78,84,81,72,100,68,60
"110","C","4",62,59,57,50,49,28,58,38,56,48,100,49,35
"111","S","2",52,53,50,24,0,35,26,47,28,20,100,25,27
"112","S","4",100,100,100,54,53,52,100,100,100,100,100,100,100
"113","S","7",62,54,51,53,53,49,100,88,54,51,100,34,51
"114","S","6",51,50,53,51,29,48,100,100,55,63,100,36,50
"115","S","5",100,79,0,19,20,52,100,100,20,28,100,27,75
"116","S","1",50,100,82,93,91,46,91,99,100,99,100,95,56
"117","S","3",100,89,89,50,93,55,90,90,79,67,100,66,50
"118","R","6",99,100,51,55,54,0,100,100,47,52,100,54,29
"119","R","3",49,25,27,0,0,0,49,75,49,24,100,23,30
"120","R","1",96,100,55,51,53,54,100,50,53,75,100,56,48
"121","R","2",100,50,15,0,0,9,100,51,0,0,100,0,7
"122","R","4",51,18,34,9,31,8,49,31,83,13,100,66,19
"123","R","5",74,50,19,23,50,12,46,64,19,15,100,16,21
"124","C","2",85,69,54,16,17,24,71,73,17,54,100,57,17
"125","C","4",100,6,4,7,5,51,100,100,8,53,95,12,31
"126","C","05",57,100,51,54,54,100,100,11,7,7,100,10,53
"127","C","1",100,100,100,100,100,100,100,100,100,100,100,100,100
"128","C","3",50,47,77,78,61,0,77,78,73,38,100,56,15
"129","C","7",37,32,47,16,56,23,48,48,57,40,100,65,26
"130","C","6",100,100,41,68,68,52,100,100,3,40,100,22,52
